link,name,quote,rank,score
https://movie.douban.com/subject/1787291/,被嫌弃的松子的一生,以戏谑来戏谑戏谑。,98,8.9
https://movie.douban.com/subject/10777687/,7号房的礼物,《我是山姆》的《美丽人生》。,99,8.9
https://movie.douban.com/subject/26799731/,请以你的名字呼唤我,沉醉在电影的情感和视听氛围中无法自拔。,100,8.9
https://movie.douban.com/subject/1292052/,肖申克的救赎,希望让人自由。,1,9.7
https://movie.douban.com/subject/1291546/,霸王别姬,风华绝代。,2,9.6
https://movie.douban.com/subject/1292720/,阿甘正传,一部美国近现代史。,3,9.5
https://movie.douban.com/subject/1292722/,泰坦尼克号,失去的才是永恒的。 ,4,9.5
https://movie.douban.com/subject/1295644/,这个杀手不太冷,怪蜀黍和小萝莉不得不说的故事。,5,9.4
https://movie.douban.com/subject/1292063/,美丽人生,最美的谎言。,6,9.6
https://movie.douban.com/subject/1291561/,千与千寻,最好的宫崎骏，最好的久石让。 ,7,9.4
https://movie.douban.com/subject/1295124/,辛德勒的名单,拯救一个人，就是拯救整个世界。,8,9.6
https://movie.douban.com/subject/3541415/,盗梦空间,诺兰给了我们一场无法盗取的梦。,9,9.4
https://movie.douban.com/subject/1889243/,星际穿越,爱是一种力量，让我们超越时空感知它的存在。,10,9.4
https://movie.douban.com/subject/1292064/,楚门的世界,如果再也不能见到你，祝你早安，午安，晚安。,11,9.4
https://movie.douban.com/subject/3011091/,忠犬八公的故事,永远都不能忘记你所爱的人。,12,9.4
https://movie.douban.com/subject/1292001/,海上钢琴师,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,13,9.3
https://movie.douban.com/subject/3793023/,三傻大闹宝莱坞,英俊版憨豆，高情商版谢耳朵。,14,9.2
https://movie.douban.com/subject/1291549/,放牛班的春天,天籁一般的童声，是最接近上帝的存在。 ,15,9.3
https://movie.douban.com/subject/2131459/,机器人总动员,小瓦力，大人生。,16,9.3
https://movie.douban.com/subject/1307914/,无间道,香港电影史上永不过时的杰作。,17,9.3
https://movie.douban.com/subject/25662329/,疯狂动物城,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,18,9.2
https://movie.douban.com/subject/1296141/,控方证人,比利·怀德满分作品。,19,9.6
https://movie.douban.com/subject/1292213/,大话西游之大圣娶亲,一生所爱。,20,9.2
https://movie.douban.com/subject/5912992/,熔炉,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,21,9.4
https://movie.douban.com/subject/1291841/,教父,千万不要记恨你的对手，这样会让你失去理智。,22,9.3
https://movie.douban.com/subject/1849031/,当幸福来敲门,平民励志片。 ,23,9.2
https://movie.douban.com/subject/6786002/,触不可及,满满温情的高雅喜剧。,24,9.3
https://movie.douban.com/subject/3319755/,怦然心动,真正的幸福是来自内心深处。,25,9.1
https://movie.douban.com/subject/1291560/,龙猫,人人心中都有个龙猫，童年就永远不会消失。,26,9.2
https://movie.douban.com/subject/1293172/,末代皇帝,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,27,9.3
https://movie.douban.com/subject/20495023/,寻梦环游记,死亡不是真的逝去，遗忘才是永恒的消亡。,28,9.1
https://movie.douban.com/subject/1292365/,活着,张艺谋最好的电影。,29,9.3
https://movie.douban.com/subject/1851857/,蝙蝠侠：黑暗骑士,无尽的黑暗。,30,9.2
https://movie.douban.com/subject/1295038/,哈利·波特与魔法石,童话世界的开端。,31,9.2
https://movie.douban.com/subject/1291552/,指环王3：王者无敌,史诗的终章。,32,9.3
https://movie.douban.com/subject/1300267/,乱世佳人,Tomorrow is another day.,33,9.3
https://movie.douban.com/subject/21937452/,素媛,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,34,9.3
https://movie.douban.com/subject/2129039/,飞屋环游记,最后那些最无聊的事情，才是最值得怀念的。 ,35,9.1
https://movie.douban.com/subject/26752088/,我不是药神,对我们国家而言，这样的电影多一部是一部。,36,9.0
https://movie.douban.com/subject/30170448/,何以为家,凝视卑弱生命，用电影改变命运。,37,9.1
https://movie.douban.com/subject/26387939/,摔跤吧！爸爸,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,38,9.0
https://movie.douban.com/subject/1293182/,十二怒汉,1957年的理想主义。 ,39,9.4
https://movie.douban.com/subject/1308807/,哈尔的移动城堡,带着心爱的人在天空飞翔。,40,9.1
